""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"regulation"	"trait"
"hsa-miR-508-5p"	1.72537318344185	-4.26554080434709	0.677607326585178	-6.2950039602485	3.07392011774893e-10	4.17438351990304e-08	"Down"	"T22D"
"hsa-miR-548ad-5p"	1.39861076271378	-3.44790711863633	0.54891500214472	-6.28131332750001	3.35724743949434e-10	4.27419564640623e-08	"Down"	"T22D"
"hsa-miR-4722-3p"	1.40625081082176	-3.88398383136181	0.625077157115347	-6.21360705178528	5.17819254441303e-10	6.20469306645255e-08	"Down"	"T22D"
"hsa-miR-125a-5p"	24.2324446461698	3.69264896220323	0.598745909204913	6.16730553884998	6.94634571272263e-10	7.50226840742866e-08	"Up"	"T22D"
"hsa-miR-4779"	1.72591898890314	-3.51359176585507	0.569820270283313	-6.16614035879791	6.99769758179404e-10	7.50226840742866e-08	"Down"	"T22D"
"hsa-miR-6736-3p"	1.89148541730613	-3.71098762145436	0.612072997056404	-6.06298209413146	1.33620546317803e-09	1.36092526424682e-07	"Down"	"T22D"
"hsa-miR-3618"	1.4056904877611	-3.60695506534662	0.599232143668967	-6.01929503190871	1.75178322880592e-09	1.55147062481637e-07	"Down"	"T22D"
"hsa-miR-6719-3p"	1.66649435495	-3.59019418671114	0.595535304462683	-6.02851612626118	1.65471889342593e-09	1.55147062481637e-07	"Down"	"T22D"
"hsa-miR-6774-5p"	1.39412989623381	-3.79804008577415	0.630660946918831	-6.02231691105962	1.71937817161649e-09	1.55147062481637e-07	"Down"	"T22D"
"hsa-miR-429"	2.77132087675149	4.56373397852499	0.763707805511335	5.97575924403362	2.29021018829326e-09	1.94381589731391e-07	"Up"	"T22D"
"hsa-miR-3670"	1.48201749615748	-3.69728548476173	0.627342872826255	-5.89356418142604	3.77953202488612e-09	2.96111797488193e-07	"Down"	"T22D"
"hsa-miR-7843-3p"	1.68269951219925	-3.76866923180252	0.639192458749823	-5.89598512969559	3.72452516424831e-09	2.96111797488193e-07	"Down"	"T22D"
"hsa-miR-125b-2-3p"	2.50986067107065	4.43726432101368	0.755424060852079	5.87387210834757	4.25731861340887e-09	3.09719929125496e-07	"Up"	"T22D"
"hsa-miR-6775-5p"	1.95382362997479	-3.83356811675993	0.652229485168313	-5.87763694211194	4.16164405936097e-09	3.09719929125496e-07	"Down"	"T22D"
"hsa-miR-1284"	2.13595767604212	4.19719260538456	0.726743578740105	5.77534185119445	7.67970032695004e-09	5.39432743655077e-07	"Up"	"T22D"
"hsa-miR-490-3p"	6.75006287690225	2.30309181644836	0.406617669445208	5.66402296189124	1.47864607094375e-08	1.00400068217081e-06	"Up"	"T22D"
"hsa-miR-6851-3p"	1.62459852096628	-3.53180881202335	0.629601653972906	-5.60959265233337	2.02803399386824e-08	1.33261459532568e-06	"Down"	"T22D"
"hsa-miR-4662a-3p"	1.67045285871189	3.8562454601532	0.700175889303082	5.5075382044239	3.63886456504453e-08	2.24617185424112e-06	"Up"	"T22D"
"hsa-miR-6813-3p"	2.03626121991817	4.13779319716952	0.750786544274815	5.5112777775822	3.56237993810962e-08	2.24617185424112e-06	"Up"	"T22D"
"hsa-miR-1182"	1.62341964635726	3.81073027077801	0.693475806532409	5.49511639033642	3.90452811083792e-08	2.33927169464025e-06	"Up"	"T22D"
"hsa-miR-6074"	1.21420570288189	-3.64903516567528	0.666710830241264	-5.47319017504906	4.42005326575777e-08	2.54150052535138e-06	"Down"	"T22D"
"hsa-miR-939-5p"	2.01298256053322	4.10178239979676	0.749821532781045	5.4703449027177	4.49160623037062e-08	2.54150052535138e-06	"Up"	"T22D"
"hsa-miR-1538"	4.11508191004647	1.78668170602453	0.3288710896507	5.43277217806587	5.54852288820814e-08	2.9743002956e-06	"Up"	"T22D"
"hsa-miR-29b-1-5p"	1.661293336929	3.83962153779832	0.706300025231016	5.43624720463865	5.44144483032044e-08	2.9743002956e-06	"Up"	"T22D"
"hsa-miR-135b-5p"	1.67024916529483	3.82361599256024	0.720142044315495	5.30953028328548	1.09908121616482e-07	5.7405857367378e-06	"Up"	"T22D"
"hsa-miR-1273e"	1.54483988590196	-3.69703121504866	0.708642869131638	-5.21705837466333	1.81786982486607e-07	9.03170934939557e-06	"Down"	"T22D"
"hsa-miR-380-5p"	1.54190191721174	3.75200827850563	0.719120592587746	5.21749525347909	1.81358869741651e-07	9.03170934939557e-06	"Up"	"T22D"
"hsa-miR-892b"	1.7234764429664	3.89561168621525	0.747553046328911	5.21115084119562	1.87672780001343e-07	9.10212983006516e-06	"Up"	"T22D"
"hsa-miR-6865-3p"	2.38614654671657	-3.51310442862934	0.680532543600321	-5.16228718474424	2.43950644547313e-07	1.15564526265785e-05	"Down"	"T22D"
"hsa-miR-483-5p"	116.351816943864	1.28833662465345	0.25368750029994	5.07843950975207	3.8054755144202e-07	1.7617621870168e-05	"Up"	"T22D"
"hsa-miR-3646"	1.53621335385791	-3.34971568010196	0.661861080555361	-5.06105552737932	4.1694175451389e-07	1.88735634209954e-05	"Down"	"T22D"
"hsa-miR-6754-3p"	1.90981864128756	-3.20244202794695	0.643308239337837	-4.97808333877901	6.42170070297596e-07	2.84369659390479e-05	"Down"	"T22D"
"hsa-miR-7154-3p"	1.51962750931829	-3.34215947288768	0.672370260603604	-4.97071281809421	6.67071947311195e-07	2.89111820568703e-05	"Down"	"T22D"
"hsa-miR-3614-3p"	2.29830994886078	-3.35743788031846	0.679606193290148	-4.94026969363572	7.8014589930892e-07	3.31074416019223e-05	"Down"	"T22D"
"hsa-miR-6848-5p"	1.52489566949915	3.71137153212987	0.761019453465473	4.87684186682654	1.07797784087334e-06	4.4813078813449e-05	"Up"	"T22D"
"hsa-miR-9-3p"	4.36834014182455	1.60938231708026	0.34283321601498	4.69435936163763	2.67443529037525e-06	0.000108956493729888	"Up"	"T22D"
"hsa-miR-4436b-3p"	1.50444718059212	3.70116974959225	0.802578414752291	4.61159891863599	3.99583426922643e-06	0.000159598321694397	"Up"	"T22D"
"hsa-miR-6781-3p"	1.76624138609487	3.92300086210316	0.853010041718249	4.59900900369346	4.24505437697434e-06	0.00016629184165186	"Up"	"T22D"
"hsa-miR-320b"	361.49760538479	0.594531976271105	0.129864136714496	4.57810748457961	4.69201598005601e-06	0.000180332765120266	"none"	"T22D"
"hsa-miR-3940-5p"	1.3776908392949	3.5677811087876	0.781508628561951	4.56524851856422	4.98902952529945e-06	0.000181475948982768	"Up"	"T22D"
"hsa-miR-4738-5p"	1.55808427914316	-3.2271347174612	0.706814054688382	-4.56574780319553	4.9771685486245e-06	0.000181475948982768	"Down"	"T22D"
"hsa-miR-507"	1.33756930937755	3.52499781191468	0.771740765655407	4.56759312036737	4.93356521351982e-06	0.000181475948982768	"Up"	"T22D"
"hsa-miR-323a-5p"	1.2161307548869	3.40134477908913	0.760145195759679	4.47459879778609	7.65549225117646e-06	0.000273583117818359	"Up"	"T22D"
"hsa-miR-3679-5p"	31.2165829038755	0.914493571305934	0.207392546545455	4.40948137499965	1.03618469173089e-05	0.000354417303778749	"none"	"T22D"
"hsa-miR-4467"	1.43654448115906	3.62031306833216	0.821330036080294	4.40786639876182	1.04393903911266e-05	0.000354417303778749	"Up"	"T22D"
"hsa_piR_000765/gb/DQ570956/Homo"	181.111052086843	-1.6042796944192	0.363720590535002	-4.41074752479491	1.03014374192334e-05	0.000354417303778749	"Down"	"T22D"
"hsa-miR-193a-5p"	51.5986088235208	0.952026553649921	0.216718993337026	4.3929077880562	1.11844574458873e-05	0.000369922733226014	"none"	"T22D"
"hsa-miR-6861-5p"	1.42080897123008	3.60443378185583	0.820782929824992	4.39145802243276	1.12593075405071e-05	0.000369922733226014	"Up"	"T22D"
"hsa-miR-185-5p"	11.5188151220694	2.60129595662478	0.595017281295165	4.37179900214424	1.23226944705116e-05	0.000398433787879875	"Up"	"T22D"
"hsa-miR-4740-5p"	1.35130887592473	-3.54017831182826	0.811049996200998	-4.36493228334954	1.27162144795134e-05	0.000404733263980762	"Down"	"T22D"
"hsa-miR-496"	3.90023865951983	-2.00037180107637	0.460699376059416	-4.34203279845203	1.41170452155482e-05	0.000442406478524179	"Down"	"T22D"
"hsa-miR-4681"	1.23424559988407	3.40959937220418	0.790564375598181	4.3128674620891	1.61150731849909e-05	0.000489946329519798	"Up"	"T22D"
"hsa-miR-760"	88.3381680309861	0.752583412790243	0.174415135746944	4.31489738300095	1.59677058593875e-05	0.000489946329519798	"none"	"T22D"
"hsa-miR-320c"	154.842782119293	0.725919581860966	0.17167843057332	4.2283679984536	2.35392555383005e-05	0.000705139169581148	"none"	"T22D"
"hsa-miR-6787-3p"	2.86770272765077	-1.83437076064533	0.440826646059817	-4.16120662632634	3.16570490628123e-05	0.000934571144071719	"Down"	"T22D"
"hsa-miR-511-5p"	1.21645929514758	3.38983917054212	0.819983686458716	4.13403245274537	3.56453108173768e-05	0.00103727854478567	"Up"	"T22D"
"hsa-miR-4258"	1.16440534981973	3.31446896056952	0.804743924335726	4.11866291914591	3.81077102753085e-05	0.00109331557508174	"Up"	"T22D"
"hsa-miR-7158-5p"	1.29736143615588	3.48604019191418	0.847884374571122	4.11145705294721	3.9317001591196e-05	0.00111234350335092	"Up"	"T22D"
"hsa-miR-3668"	1.25724626713409	3.43096827603058	0.837182100182957	4.09823415393232	4.16314022929215e-05	0.00116168721192714	"Up"	"T22D"
"hsa-miR-4668-5p"	2.63594953298398	-1.90835035919914	0.467293936427524	-4.0838329163621	4.42988880394834e-05	0.0012194166883301	"Down"	"T22D"
"hsa-miR-8057"	1.62162419976051	3.75903480240016	0.92347592263721	4.07052821871665	4.69066585456611e-05	0.00127398484610016	"Up"	"T22D"
"hsa-miR-4507"	3.72727348740041	-2.4185461804834	0.598779014259564	-4.03912983402418	5.36498636639299e-05	0.00143795753004507	"Down"	"T22D"
"hsa-miR-205-5p"	9.2777423553939	-0.953950411220672	0.237260773045176	-4.02068322958315	5.80295932151741e-05	0.0015351465114196	"none"	"T22D"
"hsa-miR-3181"	1.0893430991802	3.22528621031716	0.805548449850891	4.00383888878957	6.23228162886562e-05	0.00162758431769221	"Up"	"T22D"
"hsa-miR-8064"	1.7423961745859	-2.56539583176797	0.665758026225418	-3.85334570626619	0.00011651469750011	0.00300430935199651	"Down"	"T22D"
"hsa-miR-1273c"	3.26110084692121	-1.6717648366221	0.435891041331086	-3.835281476575	0.000125420575313827	0.00311563063310081	"Down"	"T22D"
"hsa-miR-4700-3p"	4.22337454195255	-2.01259893452383	0.52461900028994	-3.8363058398791	0.000124898853478414	0.00311563063310081	"Down"	"T22D"
"hsa-miR-7151-5p"	0.959096059528813	-2.9709797468799	0.774493053726891	-3.83603149516116	0.000125038379951828	0.00311563063310081	"Down"	"T22D"
"hsa-miR-3186-3p"	1.19746097139582	3.37841985963896	0.893858587317417	3.77959098628568	0.000157086184968791	0.00380933998549317	"Up"	"T22D"
"hsa-miR-4254"	20.4914659510105	-1.16302995559889	0.30770286377245	-3.77971768393734	0.000157006277123145	0.00380933998549317	"Down"	"T22D"
"hsa-miR-187-3p"	6.07289190969601	1.34802341456974	0.357047041351475	3.77547846207401	0.000159700823828886	0.00382718327222872	"Up"	"T22D"
"hsa-miR-365a-3p"	0.770007867212959	-3.67606622144324	0.983881766797605	-3.73628859228514	0.000186756321231132	0.00428411324920913	"Down"	"T22D"
"hsa-miR-4270"	1.03782653908713	3.14568117278489	0.841502499586167	3.7381721080233	0.000185363041339368	0.00428411324920913	"Up"	"T22D"
"hsa-miR-4641"	2.49434240322541	-1.94298254459502	0.51972644051705	-3.73847161337807	0.000185142392802611	0.00428411324920913	"Down"	"T22D"
"hsa-miR-4726-3p"	3.73020290881092	-1.99572069557903	0.534629259574366	-3.73290585922641	0.000189283354162407	0.00428411324920913	"Down"	"T22D"
"hsa_piR_016735/gb/DQ593039/Homo"	157.090413786992	-1.94218539802521	0.519970004021388	-3.73518738197314	0.000187575465781347	0.00428411324920913	"Down"	"T22D"
"hsa-miR-320d"	34.4062027595924	0.691449389019525	0.185762759172289	3.72221747836027	0.00019748081587108	0.00442053210911418	"none"	"T22D"
"hsa-miR-620"	1.34658100967463	3.53219037356632	0.95407014685292	3.70223341042327	0.000213709869371047	0.00473181525987851	"Up"	"T22D"
"hsa-miR-4670-3p"	4.10741187779143	-2.0875589109218	0.565806159399586	-3.68953019729768	0.000224668560524193	0.00492096621277184	"Down"	"T22D"
"hsa-miR-379-3p"	1.90605425561201	-2.00542341895413	0.54460219967747	-3.68236378799388	0.000231081341187353	0.00500758182977274	"Down"	"T22D"
"hsa-miR-8082"	2.20934596126371	-1.87686548653552	0.516285731828629	-3.63532317635016	0.000277632371205237	0.00595302252784282	"Down"	"T22D"
"hsa-miR-548ae-5p"	0.710150677168845	-3.56395294824456	0.981761269098089	-3.6301625053091	0.000283242837333557	0.00601005895467141	"Down"	"T22D"
"hsa-miR-671-3p"	71.8648004415355	0.563327713599398	0.155304041139585	3.62725727847023	0.000286447836847119	0.0060154045737895	"none"	"T22D"
"hsa-miR-3156-3p"	2.78125194982594	-1.88376356643985	0.532376509662781	-3.53840474222476	0.000402552498265738	0.00834467623679229	"Down"	"T22D"
"hsa-miR-6774-3p"	1.00139472138917	3.12256698908251	0.882969032197915	3.53643998284936	0.00040555863890154	0.00834467623679229	"Up"	"T22D"
"hsa-miR-4304"	32.581498126424	0.538538600951437	0.152841889680431	3.52350132596135	0.000425884965950359	0.00867527675640881	"none"	"T22D"
"hsa-miR-1202"	2.77986863787323	-1.67128196470491	0.475061447030983	-3.51803324633057	0.000434757890582127	0.00876833488233458	"Down"	"T22D"
"hsa-miR-4531"	13.5488964443568	-1.0446587285195	0.297294370308504	-3.51388668219802	0.000441601155209865	0.00881903483492642	"Down"	"T22D"
"hsa-miR-1908-5p"	112.152425004638	0.555884775623064	0.158481416655176	3.50757071305438	0.00045221814965852	0.0089433822413049	"none"	"T22D"
"hsa-miR-3612"	3.70639751304085	-1.78021199592783	0.508394880370897	-3.50163242129639	0.000462417111553892	0.00905715054072382	"Down"	"T22D"
"hsa-miR-4532"	2.9710883015008	-1.88330844426397	0.54087960904225	-3.48193648416289	0.000497801753237456	0.00956624689947828	"Down"	"T22D"
"hsa-miR-4771"	2.66224083207843	-1.99168260940036	0.571849666917007	-3.48287797409772	0.00049605441668062	0.00956624689947828	"Down"	"T22D"
"hsa-miR-4257"	3.4509751996606	-1.81699641942782	0.524752505952469	-3.46257787969934	0.000535027051475765	0.0100912046653346	"Down"	"T22D"
"hsa-miR-4737"	3.94137173448693	-1.46790841260576	0.423922985386378	-3.46267709751067	0.000534829818249854	0.0100912046653346	"Down"	"T22D"
"hsa-miR-148a-3p"	113.650928397929	-2.58551441393174	0.748580681985763	-3.45388877398377	0.000552565219844523	0.0103263793836999	"Down"	"T22D"
"hsa-miR-1302"	0.889869335990457	2.94277191852585	0.853595003852292	3.44750368177538	0.000565792695521575	0.0104774520070677	"Up"	"T22D"
"hsa-miR-8085"	5.25677646792855	-1.379179669217	0.401033287032336	-3.43906531904869	0.000583726372848799	0.0107121677611982	"Down"	"T22D"
"hsa-miR-8087"	2.62639112044855	-1.70922116778081	0.499599707067747	-3.42118128493825	0.000623497564525388	0.0113398619548055	"Down"	"T22D"
"hsa-miR-3125"	3.85248965599152	-1.31267335402645	0.387382870693451	-3.38856839920837	0.000702585033592055	0.0126651833046639	"Down"	"T22D"
"hsa-miR-144-5p"	191.32108077457	-0.915194385269249	0.272769860093794	-3.35518882091501	0.000793108296057122	0.0139696243918435	"none"	"T22D"
"hsa-miR-3609"	3.54817793044496	-1.69695264959468	0.505896348940031	-3.35434848096884	0.00079552107484234	0.0139696243918435	"Down"	"T22D"
"hsa-miR-802"	2.56699679467557	-1.87652063722795	0.55896709972237	-3.35712180226706	0.00078758408832893	0.0139696243918435	"Down"	"T22D"
"hsa-miR-4488"	2.5708533016845	-1.99076906247446	0.594132989852788	-3.35071288158519	0.000806038280717503	0.014033333143774	"Down"	"T22D"
"hsa-miR-588"	1.26164672067729	-3.4620916164625	1.04607758358753	-3.30959354332901	0.000934315399726167	0.0161288175359509	"Down"	"T22D"
"hsa-miR-3679-3p"	1.47285026938298	-4.06079322261244	1.22894740274037	-3.30428561349126	0.00095218771353303	0.0162992132140066	"Down"	"T22D"
"hsa-miR-130b-5p"	35.017160861779	0.549465655519456	0.166980841753509	3.29059100283228	0.00099977157934354	0.0169711225593566	"none"	"T22D"
"hsa-miR-27a-5p"	3.16677048264695	-1.53759798208305	0.468943113252567	-3.27885822102887	0.00104227986333318	0.0175464800133032	"Down"	"T22D"
"hsa-miR-3200-3p"	7.58304321224457	-0.942459168265569	0.288670764801934	-3.26482374795459	0.00109532210048666	0.0182485826773765	"none"	"T22D"
"hsa-miR-548e-5p"	0.653968162190006	-3.44425181346168	1.05624962502613	-3.26083127686458	0.00111086119391001	0.0182485826773765	"Down"	"T22D"
"hsa-miR-616-5p"	3.20151803450645	-1.75957298956992	0.539279816106423	-3.2628200370523	0.0011030954393215	0.0182485826773765	"Down"	"T22D"
"hsa-miR-106b-5p"	24.8592508171362	-0.536734193365208	0.164783639328951	-3.25720560336544	0.00112514903159096	0.0183354286188063	"none"	"T22D"
"hsa-miR-4747-5p"	0.813161848016099	-3.74845213776895	1.15293466793082	-3.25122684054277	0.00114908136149777	0.0185768153442139	"Down"	"T22D"
"hsa-miR-1252-5p"	3.10627896184266	-1.6567560328263	0.510057698535757	-3.24817376069887	0.00116148317216641	0.0186294584386061	"Down"	"T22D"
"hsa-miR-1255b-5p"	29.518491119105	-0.702412481474426	0.216756271319547	-3.24056359337771	0.00119293660142551	0.0189844676336231	"none"	"T22D"
"hsa-miR-3928-5p"	3.21116966941655	-1.64453931404776	0.508407442879798	-3.23468772355596	0.00121775838701714	0.0192292545298752	"Down"	"T22D"
"hsa-miR-3617-5p"	2.31834258429138	-1.66706313315108	0.517199325606186	-3.22325078671979	0.00126744533415514	0.0197082911883513	"Down"	"T22D"
"hsa-miR-5088-3p"	1.04226592029919	3.15149082598861	0.977712179118733	3.22333186933319	0.00126708658299903	0.0197082911883513	"Up"	"T22D"
"hsa-miR-3138"	38.0939302870663	0.479343069687004	0.149117808374563	3.21452598393186	0.00130660088763725	0.0201551759406597	"none"	"T22D"
"hsa-miR-6788-3p"	4.26155335988126	-1.73097360773117	0.53882894358619	-3.21247332448518	0.0013159736868472	0.0201551759406597	"Down"	"T22D"
"hsa-miR-5697"	2.86653699443764	-1.52636475815144	0.475588583590329	-3.20942262034246	0.00133001840687379	0.0202182648865815	"Down"	"T22D"
"hsa-miR-6505-3p"	4.13768815760221	-1.73494048916748	0.542844564153664	-3.19601706221815	0.00139338871708532	0.0210246875311318	"Down"	"T22D"
"hsa-miR-4703-5p"	8.42752781069698	-1.39604115416739	0.437687830952173	-3.1895818330849	0.00142478793802617	0.0213403899247008	"Down"	"T22D"
"hsa-miR-1276"	4.70026866634178	1.15100327898702	0.361660263081308	3.18255389514067	0.0014598234397417	0.0213932399047038	"Up"	"T22D"
"hsa-miR-3927-5p"	2.79893596929496	-1.98555141625287	0.623573769739998	-3.18414839206716	0.00145180566498146	0.0213932399047038	"Down"	"T22D"
"hsa-miR-6507-3p"	4.95253917361479	-1.52136576915672	0.477982322804442	-3.18289128399244	0.00145812351619491	0.0213932399047038	"Down"	"T22D"
"hsa-miR-4660"	3.01653987559196	-1.59020365115434	0.501266458295981	-3.17237194876378	0.0015119922127419	0.0218434619670585	"Down"	"T22D"
"hsa-miR-575"	2.6960770292641	-1.91988756902703	0.60497876472381	-3.17347927063773	0.00150623657241125	0.0218434619670585	"Down"	"T22D"
"hsa-miR-3910"	0.891410945122382	-3.2428863703094	1.03102447027298	-3.14530495037696	0.00165913787698254	0.0238004496860101	"Down"	"T22D"
"hsa-miR-671-5p"	39.6253394331738	0.499328516147765	0.159236689099585	3.13576298886428	0.00171407667574384	0.0244166027167148	"none"	"T22D"
"hsa-miR-6731-5p"	3.06356670600286	-1.60149214959608	0.511647484595957	-3.13006942829156	0.00174764992712318	0.0245514682865512	"Down"	"T22D"
"hsa-miR-6852-3p"	61.8593844592797	0.707123125637231	0.225829236158603	3.13122932028432	0.00174076173569409	0.0245514682865512	"none"	"T22D"
"hsa-miR-3202"	2.86702780795304	-1.59240695434489	0.50925767199738	-3.12691794725301	0.0017664922149989	0.0246461961777586	"Down"	"T22D"
"hsa-miR-4758-5p"	3.06021374124333	-1.57782693623337	0.506426844026491	-3.11560683412516	0.00183566840850796	0.0254371193750389	"Down"	"T22D"
"hsa-miR-6893-3p"	5.71343370625151	-1.51510793245545	0.488839181494158	-3.0993995363147	0.00193913329229388	0.0266892872729907	"Down"	"T22D"
"hsa-miR-1228-3p"	0.614574933918036	-3.34657059704277	1.08050352842897	-3.09723245597227	0.00195336632343982	0.0267047463144089	"Down"	"T22D"
"hsa-miR-421"	70.7930307134017	-0.418421007883688	0.135318584789657	-3.09211782353543	0.00198733951403676	0.0269880706006192	"none"	"T22D"
"hsa-miR-4466"	0.961754575799407	-3.1805618013381	1.03106682122632	-3.08472907464448	0.0020373764809898	0.0274843436541472	"Down"	"T22D"
"hsa-miR-139-3p"	262.332916944979	0.56771256453869	0.1853492560496	3.06293414194642	0.00219178290633229	0.0293727748697295	"none"	"T22D"
"hsa-miR-3143"	4.52270361470702	-1.01896033931539	0.33305807523069	-3.0594073979729	0.00221775337523866	0.0295265596428833	"Down"	"T22D"
"hsa-miR-25-3p"	9.11699839609127	-0.507533534343933	0.166139825967369	-3.05485774641185	0.00225167294044476	0.029783492075883	"none"	"T22D"
"hsa-miR-4718"	2.36612347417302	-1.74534920207854	0.573508568739267	-3.04328356578055	0.00234011707573527	0.0307536676340177	"Down"	"T22D"
"hsa-miR-6809-5p"	8.14138018664434	-0.987235447138196	0.327116329119299	-3.01799500439537	0.00254453099202152	0.0332257027612041	"none"	"T22D"
"hsa-miR-548ay-3p"	3.29213559383392	-1.54056839508244	0.511814705934309	-3.01001197742093	0.00261237387794648	0.0338556773027813	"Down"	"T22D"
"hsa-miR-6720-5p"	0.876213678987094	-3.21606591811241	1.06901820842363	-3.00842950360481	0.00262601718892462	0.0338556773027813	"Down"	"T22D"
"hsa-miR-6085"	2.8253355666238	-1.60922455922738	0.536167116371104	-3.00134885205001	0.00268786440858703	0.0344350930835962	"Down"	"T22D"
"hsa-miR-187-5p"	4.44857400657388	-1.23991133058197	0.414177188544491	-2.99367363745764	0.00275640615166423	0.0346592551292595	"Down"	"T22D"
"hsa-miR-6780a-5p"	3.80424096387946	-1.43647156109807	0.479476179524819	-2.99591850949025	0.00273619544782174	0.0346592551292595	"Down"	"T22D"
"hsa-miR-711"	3.38540348149369	-1.29870627147514	0.433804397334103	-2.99376004359614	0.00275562571593658	0.0346592551292595	"Down"	"T22D"
"hsa-miR-4691-5p"	14.0939462989607	-1.26571754510519	0.423848786648018	-2.98624789070424	0.00282423602690985	0.0352942870356771	"Down"	"T22D"
"hsa-miR-6127"	0.769131785065423	-3.6667469723358	1.23203792355495	-2.97616404676543	0.00291878683704366	0.0362534682137679	"Down"	"T22D"
"hsa-miR-203a-5p"	0.903179296773497	-3.25699062963373	1.09594331744217	-2.97186047653927	0.00296001165601573	0.0365426893533578	"Down"	"T22D"
"hsa-miR-154-3p"	0.558057789624046	-3.21537320568835	1.08350142309091	-2.96757635676734	0.00300157718855194	0.036612052293894	"Down"	"T22D"
"hsa-miR-6780b-5p"	3.17651663442648	-1.62786392080885	0.548519039248062	-2.9677436958987	0.00299994368337628	0.036612052293894	"Down"	"T22D"
"hsa-miR-6805-3p"	5.03840177258087	-1.08000432039471	0.364161881831481	-2.9657258880667	0.00301969498269175	0.0366138016651375	"Down"	"T22D"
"hsa_piR_020450/gb/DQ598104/Homo"	0.680688953774474	-3.49258584703116	1.17888649193574	-2.9626141879837	0.00305038643802139	0.0367670838712993	"Down"	"T22D"
"hsa-miR-4764-3p"	2.81874349029681	-1.51013886868047	0.510582386933669	-2.95767912745618	0.00309964595680315	0.037141051847106	"Down"	"T22D"
"hsa-miR-4677-3p"	7.41234650660529	-0.564782842608892	0.191167924417371	-2.95438078500982	0.00313297172562435	0.037320838626297	"none"	"T22D"
"hsa-miR-3200-5p"	3.86774685247741	-1.31800992875034	0.448131367673781	-2.94112401814682	0.0032702357489094	0.0379866789917967	"Down"	"T22D"
"hsa-miR-4279"	2.66646184810949	-1.60965594090635	0.546671493341868	-2.94446657729732	0.00323511886153732	0.0379866789917967	"Down"	"T22D"
"hsa-miR-4448"	4.84658553317135	-1.24805152142803	0.424159292937436	-2.94241230172014	0.00325666013251599	0.0379866789917967	"Down"	"T22D"
"hsa-miR-4495"	3.36709672888554	-1.80710651280417	0.614920949586566	-2.93876231411395	0.00329525676709104	0.0379866789917967	"Down"	"T22D"
"hsa-miR-4521"	0.849283138401051	-3.18397968190473	1.08412194202748	-2.93692024713584	0.00331489341494738	0.0379866789917967	"Down"	"T22D"
"hsa-miR-659-5p"	0.919100827620967	-3.02615679115343	1.0291891419694	-2.94033105067816	0.00327861745789197	0.0379866789917967	"Down"	"T22D"
"hsa-miR-6760-3p"	4.33809796349964	-1.26875229911774	0.432062998329176	-2.93649839033687	0.00331940542981827	0.0379866789917967	"Down"	"T22D"
"hsa-miR-6765-3p"	5.12694147692412	-0.986300793576904	0.336154374322636	-2.93407097725365	0.00334547695746649	0.0380711539796606	"none"	"T22D"
